// Description Diederik Jacques:
// PRIMITIVE VARIANT – CaO-SiO2-H2O
// Benchmark different geochemical models
// Cement Composition
// 100 grams of cement clinkers (Lothenbach et al., 2008)
//	Gram		Mol
// CaO	63 g		1.12345
// SiO2	18.9 g		0.31456
// Inert	18.1

// Water cement Ratio
// w/c 0.5 
// Temperature
// 25°C
// Geochemical model
// Thermodynamic database: CEMDATA18.1-16-01-2019-phaseVol.dat
// Activity model: to be checked 
// Model:
// Phases
//	Portlandite
// Solid solution
//	CSH: CSHQ-JenD, CSHQ-JenH, CSHQ-TobD, CSHQ-TobH


// We make the system electroneutral by adding H+/OH- so, we do not have to add O / H+

Var: 	Si.tot		Ca.tot		waterbalance
Data:   1.12345   	0.314558	50
Data:	2.16E-01	1.74E+00	1.31E+02
Data:	2.66E-01	7.39E-01	1.32E+02
Data:	1.42E-01	4.07E-01	1.05E+02
Data:	2.64E-01	7.62E-01	5.16E+01
Data:	1.15E-01	1.06E+00	9.10E+01
Data:	3.71E-01	1.32E+00	5.00E+01
Data:	2.89E-01	1.58E+00	1.15E+02
Data:	3.81E-01	5.98E-01	1.40E+02
Data:	2.14E-01	1.94E+00	8.15E+01
Data:	1.59E-01	3.07E-01	6.25E+01
Data:	1.47E-01	6.98E-01	7.74E+01
Data:	1.41E-01	1.23E+00	1.28E+02
Data:	3.23E-01	1.25E+00	9.38E+01
Data:	3.80E-01	1.05E+00	1.38E+02
Data:	1.51E-01	5.89E-01	1.44E+02
Data:	3.74E-01	1.37E+00	6.43E+01
Data:	2.26E-01	8.77E-01	9.38E+01
Data:	2.34E-01	1.96E+00	1.00E+02
Data:	1.61E-01	5.56E-01	5.65E+01
Data:	1.91E-01	1.40E+00	9.91E+01
Data:	3.40E-01	9.32E-01	7.53E+01
Data:	1.35E-01	1.62E+00	8.94E+01
Data:	1.36E-01	1.68E+00	7.90E+01
Data:	1.84E-01	7.80E-01	9.56E+01
Data:	1.14E-01	7.27E-01	1.31E+02
Data:	2.24E-01	9.32E-01	1.32E+02
