@class: format(){
   Output_every: 1
//@PHREEQCOutput: chemistry1.inp

Output_every: 1
 The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                   	 Ca.tot                	 Si.tot                	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.12345000              	 3.14558000e-1           	 50.0000000              	 2.27387396e-2           	 12.4800294              	 4.43236380e-4           	 1.12300676              	 3.14557291e-1           	 7.08956864e-7           	 6.11325771e-1           	 1.68589645e-1           	 1.12043852e-1           	 1.26846834e-1           	 5.54593813e-3           	 5.11680993e-1           	 3.14557291e-1           	

}

@format()

Output_every: 1
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                       	 Ca.tot                  	 Si.tot                  	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 3.14558000e-1           	 1.12345000              	 50.0000000              	 4.83686495e-2           	 6.79220830              	 3.01984139e-4           	 3.14256016e-1           	 4.71329579e-1           	 6.52120421e-1           	 0.0                     	 7.91031920e-13          	 1.07498519e-7           	 5.27505041e-5           	 4.71294303e-1           	 3.14256016e-1           	 4.71329579e-1           	
Data:	 2.98150000e2            	 1.74000000              	 2.16000000e-1           	 1.31000000e2            	 9.49334801e-2           	 12.4800294              	 1.85049711e-3           	 1.73814950              	 2.15997040e-1           	 2.95987128e-6           	 1.38679354              	 1.15765443e-1           	 7.69371467e-2           	 8.71019096e-2           	 3.80822907e-3           	 3.51355963e-1           	 2.15997040e-1           	
