Output_every: 10
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 time_years              	 integrity               	
Data:	 0.0                     	 1.00000000              	
Data:	 1.14155251e-3           	 1.00000000              	
Data:	 1.71232877e-3           	 1.00000000              	
Data:	 2.28310502e-3           	 1.00000000              	
Data:	 2.85388128e-3           	 1.00000000              	
Data:	 3.42465753e-3           	 1.00000000              	
Data:	 3.99543379e-3           	 1.00000000              	
Data:	 4.56621005e-3           	 1.00000000              	
Data:	 5.13698630e-3           	 1.00000000              	
Data:	 5.70776256e-3           	 1.00000000              	
Data:	 6.27853881e-3           	 1.00000000              	
Data:	 6.84931507e-3           	 1.00000000              	
Data:	 7.42009132e-3           	 1.00000000              	
Data:	 7.99086758e-3           	 1.00000000              	
Data:	 8.56164384e-3           	 1.00000000              	
Data:	 9.13242009e-3           	 1.00000000              	
Data:	 9.70319635e-3           	 1.00000000              	
Data:	 1.02739726e-2           	 1.00000000              	
Data:	 1.08447489e-2           	 1.00000000              	
Data:	 1.14155251e-2           	 1.00000000              	
Data:	 1.19863014e-2           	 1.00000000              	
Data:	 1.25570776e-2           	 1.00000000              	
Data:	 1.31278539e-2           	 1.00000000              	
Data:	 1.36986301e-2           	 1.00000000              	
Data:	 1.42694064e-2           	 1.00000000              	
Data:	 1.48401826e-2           	 1.00000000              	
Data:	 1.54109589e-2           	 1.00000000              	
Data:	 1.59817352e-2           	 1.00000000              	
Data:	 1.65525114e-2           	 1.00000000              	
Data:	 1.71232877e-2           	 1.00000000              	
Data:	 1.76940639e-2           	 1.00000000              	
Data:	 1.82648402e-2           	 1.00000000              	
Data:	 1.88356164e-2           	 1.00000000              	
Data:	 1.94063927e-2           	 1.00000000              	
Data:	 1.99771689e-2           	 1.00000000              	
Data:	 2.05479452e-2           	 1.00000000              	
Data:	 2.11187215e-2           	 1.00000000              	
Data:	 2.16894977e-2           	 1.00000000              	
Data:	 2.22602740e-2           	 1.00000000              	
Data:	 2.28310502e-2           	 1.00000000              	
Data:	 2.34018265e-2           	 1.00000000              	
Data:	 2.39726027e-2           	 1.00000000              	
Data:	 2.45433790e-2           	 1.00000000              	
Data:	 2.51141553e-2           	 1.00000000              	
Data:	 2.56849315e-2           	 1.00000000              	
Data:	 2.62557078e-2           	 1.00000000              	
Data:	 2.68264840e-2           	 1.00000000              	
Data:	 2.73972603e-2           	 1.00000000              	
Data:	 2.79680365e-2           	 1.00000000              	
Data:	 2.85388128e-2           	 1.00000000              	
Data:	 2.91095890e-2           	 1.00000000              	
Data:	 2.96803653e-2           	 1.00000000              	
Data:	 3.02511416e-2           	 1.00000000              	
Data:	 3.08219178e-2           	 1.00000000              	
Data:	 3.13926941e-2           	 1.00000000              	
Data:	 3.19634703e-2           	 1.00000000              	
Data:	 3.25342466e-2           	 1.00000000              	
Data:	 3.31050228e-2           	 1.00000000              	
Data:	 3.36757991e-2           	 1.00000000              	
Data:	 3.42465753e-2           	 1.00000000              	
Data:	 3.48173516e-2           	 1.00000000              	
Data:	 3.53881279e-2           	 1.00000000              	
Data:	 3.59589041e-2           	 1.00000000              	
Data:	 3.65296804e-2           	 1.00000000              	
Data:	 3.71004566e-2           	 1.00000000              	
Data:	 3.76712329e-2           	 1.00000000              	
Data:	 3.82420091e-2           	 1.00000000              	
Data:	 3.88127854e-2           	 1.00000000              	
Data:	 3.93835616e-2           	 1.00000000              	
Data:	 3.99543379e-2           	 1.00000000              	
Data:	 4.05251142e-2           	 1.00000000              	
Data:	 4.10958904e-2           	 1.00000000              	
